id,word,stem,lang,category,timestamp,profileid
en:sausage,sausage,sausage,en,0,1397751974794,
en:annals,annals,annals,en,0,1397652387119,
en:bower,bower,bower,en,0,1397838550567,
en:succour,succour,succour,en,0,1399608231352,
en:hind,hind,hind,en,0,1399454097280,
en:do,do,do,en,0,1398838329669,
en:tidings,tidings,tidings,en,0,1399609643404,
en:without,without,without,en,0,1399171787772,
en-GB:contemptible,contemptible,contemptible,en-GB,0,1399454326811,
en:sabre,sabre,sabre,en,0,1399461347395,
en:genius,genius,genius,en,0,1399458947333,
en:attached,attached,attached,en,0,1399045770166,
en:sepulchre,sepulchre,sepulchre,en,0,1399461614795,
en:personage,personage,personage,en,0,1399172535610,
en:briar,briar,briar,en,0,1416725056710,
en:Nike,Nike,Nike,en,0,1416713928443,
en:crib,crib,crib,en,0,1416731159328,
en:patio,patio,patio,en,0,1416722926578,
en:linebacker,linebacker,linebacker,en,0,1416717154840,
en:hammock,hammock,hammock,en,0,1416713678377,
en:puréed,puréed,purée,en,0,1412528164702,
en:dracaena,dracaena,dracaena,en,0,1416726378378,
en:cornucopia,cornucopia,cornucopia,en,0,1416726121483,
en:smiting,smiting,smit,en,0,1416718330122,
en:gryphons,gryphons,gryphon,en,0,1416717701741,
en:Gee,Gee,gee,en,0,1416713862836,
en:nymphaeum,nymphaeum,nymphaeum,en,0,1416720068010,
en:chauffeur,chauffeur,chauffeur,en,0,1416823517918,
en:noggin,noggin,noggin,en,0,1416722890089,
en:naiads,naiads,naiad,en,0,1417029048208,
en:parlay,parlay,parlay,en,0,1416933908506,
en:velour,velour,velour,en,0,1416726812429,
en:subservient,subservient,subservient,en,0,1416729188588,
en:Laundromat,Laundromat,Laundromat,en,0,1416725462535,
en:cairn,cairn,cairn,en,0,1416822649758,
en:schist,schist,schist,en,0,1416982904451,
en:plopping,plopping,plop,en,0,1416720119896,
en:klutzy,klutzy,klutzy,en,0,1416719392947,
en:pep,pep,pep,en,0,1416822869793,
en:nimbus,nimbus,nimbus,en,0,1417227502061,
en:chasuble,chasuble,chasuble,en,0,1417227386410,
en:laic,laic,laic,en,0,1417227160733,
en:aureole,aureole,aureole,en,0,1417227437157,
en:feathers,feathers,feather,en,0,1426832633603,
en:tomorrow,tomorrow,tomorrow,en,0,1426832430765,
en:cantankerous,cantankerous,cantankerous,en,0,1421913476245,
en:encore,encore,encore,en,100,1420485177094,
en:fondle,fondle,fondle,en,0,1433384106490,
